census_block_group,B01001e1,state_fips,county_fips,census_tract_fips
130670301011,1639,13,13067,13067030101
130670301012,1539,13,13067,13067030101
130670301013,2651,13,13067,13067030101
130670301014,2026,13,13067,13067030101
130670301031,2452,13,13067,13067030103
130670301032,2962,13,13067,13067030103
130670301033,3836,13,13067,13067030103
130670301041,823,13,13067,13067030104
130670301042,2746,13,13067,13067030104
130670301061,2010,13,13067,13067030106
130670301062,2006,13,13067,13067030106
130670301063,3520,13,13067,13067030106
130670301071,1977,13,13067,13067030107
130670301072,2845,13,13067,13067030107
130670302091,2120,13,13067,13067030209
130670302092,1631,13,13067,13067030209
130670302093,3371,13,13067,13067030209
130670302141,2634,13,13067,13067030214
130670302142,2404,13,13067,13067030214
130670302143,2579,13,13067,13067030214
130670302151,3301,13,13067,13067030215
130670302152,2196,13,13067,13067030215
130670302153,1317,13,13067,13067030215
130670302154,2897,13,13067,13067030215
130670302181,2630,13,13067,13067030218
130670302182,2860,13,13067,13067030218
130670302191,2360,13,13067,13067030219
130670302192,2415,13,13067,13067030219
130670302193,2242,13,13067,13067030219
130670302194,2531,13,13067,13067030219
130670302201,1757,13,13067,13067030220
130670302221,2246,13,13067,13067030222
130670302222,2449,13,13067,13067030222
130670302223,983,13,13067,13067030222
130670302231,2882,13,13067,13067030223
130670302232,2276,13,13067,13067030223
130670302233,676,13,13067,13067030223
130670302241,4732,13,13067,13067030224
130670302242,1622,13,13067,13067030224
130670302261,4547,13,13067,13067030226
130670302262,2079,13,13067,13067030226
130670302263,3376,13,13067,13067030226
130670302271,1678,13,13067,13067030227
130670302272,3534,13,13067,13067030227
130670302273,2586,13,13067,13067030227
130670302281,2404,13,13067,13067030228
130670302282,1441,13,13067,13067030228
130670302283,2131,13,13067,13067030228
130670302284,1315,13,13067,13067030228
130670302291,359,13,13067,13067030229
130670302292,5620,13,13067,13067030229
130670302301,7894,13,13067,13067030230
130670302302,6392,13,13067,13067030230
130670302311,649,13,13067,13067030231
130670302312,1879,13,13067,13067030231
130670302313,2247,13,13067,13067030231
130670302314,2526,13,13067,13067030231
130670302321,2860,13,13067,13067030232
130670302322,3123,13,13067,13067030232
130670302331,1490,13,13067,13067030233
130670302332,2746,13,13067,13067030233
130670302341,3271,13,13067,13067030234
130670302342,3176,13,13067,13067030234
130670302351,1930,13,13067,13067030235
130670302352,2918,13,13067,13067030235
130670302361,2162,13,13067,13067030236
130670302362,2414,13,13067,13067030236
130670302381,3516,13,13067,13067030238
130670302382,3469,13,13067,13067030238
130670302391,1792,13,13067,13067030239
130670302392,3377,13,13067,13067030239
130670302393,2905,13,13067,13067030239
130670303101,1417,13,13067,13067030310
130670303102,2087,13,13067,13067030310
130670303103,1169,13,13067,13067030310
130670303104,2399,13,13067,13067030310
130670303105,1132,13,13067,13067030310
130670303111,1796,13,13067,13067030311
130670303112,1132,13,13067,13067030311
130670303113,1059,13,13067,13067030311
130670303114,1982,13,13067,13067030311
130670303121,2764,13,13067,13067030312
130670303122,1252,13,13067,13067030312
130670303123,1367,13,13067,13067030312
130670303124,661,13,13067,13067030312
130670303131,1613,13,13067,13067030313
130670303132,568,13,13067,13067030313
130670303133,1496,13,13067,13067030313
130670303134,1803,13,13067,13067030313
130670303135,3489,13,13067,13067030313
130670303141,2862,13,13067,13067030314
130670303142,2182,13,13067,13067030314
130670303143,3128,13,13067,13067030314
130670303181,2616,13,13067,13067030318
130670303182,2837,13,13067,13067030318
130670303183,2624,13,13067,13067030318
130670303191,1867,13,13067,13067030319
130670303192,2294,13,13067,13067030319
130670303201,2963,13,13067,13067030320
130670303202,2558,13,13067,13067030320
130670303203,2271,13,13067,13067030320
130670303221,1544,13,13067,13067030322
130670303222,1807,13,13067,13067030322
130670303241,1938,13,13067,13067030324
130670303242,1792,13,13067,13067030324
130670303261,1740,13,13067,13067030326
130670303262,1809,13,13067,13067030326
130670303263,1163,13,13067,13067030326
130670303271,3086,13,13067,13067030327
130670303272,1461,13,13067,13067030327
130670303281,1767,13,13067,13067030328
130670303282,2730,13,13067,13067030328
130670303283,2060,13,13067,13067030328
130670303291,2951,13,13067,13067030329
130670303292,1520,13,13067,13067030329
130670303301,1848,13,13067,13067030330
130670303302,2530,13,13067,13067030330
130670303303,1581,13,13067,13067030330
130670303311,2764,13,13067,13067030331
130670303312,2083,13,13067,13067030331
130670303313,1082,13,13067,13067030331
130670303321,1486,13,13067,13067030332
130670303322,1961,13,13067,13067030332
130670303331,3088,13,13067,13067030333
130670303332,1567,13,13067,13067030333
130670303333,1210,13,13067,13067030333
130670303341,1328,13,13067,13067030334
130670303342,2117,13,13067,13067030334
130670303351,2599,13,13067,13067030335
130670303352,2100,13,13067,13067030335
130670303361,1965,13,13067,13067030336
130670303362,1663,13,13067,13067030336
130670303363,2331,13,13067,13067030336
130670303364,1262,13,13067,13067030336
130670303371,1451,13,13067,13067030337
130670303372,1975,13,13067,13067030337
130670303373,833,13,13067,13067030337
130670303391,1501,13,13067,13067030339
130670303392,4318,13,13067,13067030339
130670303401,1748,13,13067,13067030340
130670303402,2107,13,13067,13067030340
130670303411,2052,13,13067,13067030341
130670303412,2385,13,13067,13067030341
130670303421,2002,13,13067,13067030342
130670303422,2655,13,13067,13067030342
130670303431,1638,13,13067,13067030343
130670303432,1704,13,13067,13067030343
130670303433,977,13,13067,13067030343
130670303441,2510,13,13067,13067030344
130670303442,835,13,13067,13067030344
130670303443,435,13,13067,13067030344
130670303451,2523,13,13067,13067030345
130670303452,275,13,13067,13067030345
130670303453,2022,13,13067,13067030345
130670304051,2425,13,13067,13067030405
130670304052,1159,13,13067,13067030405
130670304053,1602,13,13067,13067030405
130670304054,834,13,13067,13067030405
130670304071,2028,13,13067,13067030407
130670304072,1586,13,13067,13067030407
130670304073,1413,13,13067,13067030407
130670304081,1558,13,13067,13067030408
130670304082,1428,13,13067,13067030408
130670304091,1835,13,13067,13067030409
130670304092,1646,13,13067,13067030409
130670304101,2161,13,13067,13067030410
130670304102,2574,13,13067,13067030410
130670304111,1090,13,13067,13067030411
130670304112,1320,13,13067,13067030411
130670304113,1176,13,13067,13067030411
130670304121,596,13,13067,13067030412
130670304122,3581,13,13067,13067030412
130670304123,509,13,13067,13067030412
130670304124,251,13,13067,13067030412
130670304131,2023,13,13067,13067030413
130670304132,2120,13,13067,13067030413
130670304133,2072,13,13067,13067030413
130670304141,2195,13,13067,13067030414
130670304142,1108,13,13067,13067030414
130670305021,3430,13,13067,13067030502
130670305022,2352,13,13067,13067030502
130670305023,996,13,13067,13067030502
130670305041,3155,13,13067,13067030504
130670305042,1271,13,13067,13067030504
130670305043,1892,13,13067,13067030504
130670305044,360,13,13067,13067030504
130670305051,1474,13,13067,13067030505
130670305052,1972,13,13067,13067030505
130670305053,1830,13,13067,13067030505
130670305054,2009,13,13067,13067030505
130670305061,2379,13,13067,13067030506
130670305062,1638,13,13067,13067030506
130670305071,2915,13,13067,13067030507
130670305072,2241,13,13067,13067030507
130670306011,2850,13,13067,13067030601
130670306012,1415,13,13067,13067030601
130670306013,5059,13,13067,13067030601
130670306021,2839,13,13067,13067030602
130670306022,426,13,13067,13067030602
130670306023,2697,13,13067,13067030602
130670306024,910,13,13067,13067030602
130670307001,1695,13,13067,13067030700
130670307002,910,13,13067,13067030700
130670307003,1134,13,13067,13067030700
130670307004,630,13,13067,13067030700
130670308001,1352,13,13067,13067030800
130670308002,3115,13,13067,13067030800
130670308003,1138,13,13067,13067030800
130670309011,1087,13,13067,13067030901
130670309012,1149,13,13067,13067030901
130670309013,1537,13,13067,13067030901
130670309014,1385,13,13067,13067030901
130670309015,2590,13,13067,13067030901
130670309021,1181,13,13067,13067030902
130670309022,3461,13,13067,13067030902
130670309023,896,13,13067,13067030902
130670309024,803,13,13067,13067030902
130670309041,1716,13,13067,13067030904
130670309042,1845,13,13067,13067030904
130670309043,1391,13,13067,13067030904
130670309044,1755,13,13067,13067030904
130670309051,3089,13,13067,13067030905
130670309052,1226,13,13067,13067030905
130670309053,3347,13,13067,13067030905
130670309054,786,13,13067,13067030905
130670310011,1364,13,13067,13067031001
130670310012,1128,13,13067,13067031001
130670310013,2902,13,13067,13067031001
130670310021,3764,13,13067,13067031002
130670310022,2376,13,13067,13067031002
130670310023,2200,13,13067,13067031002
130670310024,1692,13,13067,13067031002
130670310041,2600,13,13067,13067031004
130670310042,1250,13,13067,13067031004
130670310043,2043,13,13067,13067031004
130670310044,1556,13,13067,13067031004
130670310051,2823,13,13067,13067031005
130670310052,2332,13,13067,13067031005
130670311011,2224,13,13067,13067031101
130670311012,1646,13,13067,13067031101
130670311013,1385,13,13067,13067031101
130670311061,1489,13,13067,13067031106
130670311062,2645,13,13067,13067031106
130670311063,1569,13,13067,13067031106
130670311064,2832,13,13067,13067031106
130670311081,468,13,13067,13067031108
130670311082,645,13,13067,13067031108
130670311083,2557,13,13067,13067031108
130670311084,1243,13,13067,13067031108
130670311101,2524,13,13067,13067031110
130670311102,1023,13,13067,13067031110
130670311111,1848,13,13067,13067031111
130670311112,1693,13,13067,13067031111
130670311121,791,13,13067,13067031112
130670311122,1668,13,13067,13067031112
130670311123,2817,13,13067,13067031112
130670311131,1195,13,13067,13067031113
130670311141,3637,13,13067,13067031114
130670311142,1914,13,13067,13067031114
130670311143,1730,13,13067,13067031114
130670311144,744,13,13067,13067031114
130670311151,2336,13,13067,13067031115
130670311152,2643,13,13067,13067031115
130670311161,2422,13,13067,13067031116
130670311162,1547,13,13067,13067031116
130670311163,0,13,13067,13067031116
130670311171,2748,13,13067,13067031117
130670311172,1873,13,13067,13067031117
130670311173,899,13,13067,13067031117
130670311181,1784,13,13067,13067031118
130670311182,1967,13,13067,13067031118
130670311183,1860,13,13067,13067031118
130670312051,1581,13,13067,13067031205
130670312052,2225,13,13067,13067031205
130670312053,2498,13,13067,13067031205
130670312061,5284,13,13067,13067031206
130670312062,314,13,13067,13067031206
130670312063,4704,13,13067,13067031206
130670312071,1085,13,13067,13067031207
130670312072,1988,13,13067,13067031207
130670312073,887,13,13067,13067031207
130670312081,717,13,13067,13067031208
130670312082,2095,13,13067,13067031208
130670312083,3471,13,13067,13067031208
130670312091,3249,13,13067,13067031209
130670312092,1336,13,13067,13067031209
130670312111,671,13,13067,13067031211
130670312112,3129,13,13067,13067031211
130670312113,349,13,13067,13067031211
130670312121,2475,13,13067,13067031212
130670313061,2510,13,13067,13067031306
130670313062,1445,13,13067,13067031306
130670313071,1118,13,13067,13067031307
130670313072,2630,13,13067,13067031307
130670313073,1739,13,13067,13067031307
130670313081,986,13,13067,13067031308
130670313082,2488,13,13067,13067031308
130670313083,2148,13,13067,13067031308
130670313091,1525,13,13067,13067031309
130670313092,1484,13,13067,13067031309
130670313093,2733,13,13067,13067031309
130670313094,2343,13,13067,13067031309
130670313101,1584,13,13067,13067031310
130670313102,3837,13,13067,13067031310
130670313103,2225,13,13067,13067031310
130670313111,3598,13,13067,13067031311
130670313112,3016,13,13067,13067031311
130670313113,2997,13,13067,13067031311
130670313121,1459,13,13067,13067031312
130670313122,415,13,13067,13067031312
130670313123,4918,13,13067,13067031312
130670313124,2812,13,13067,13067031312
130670313131,6481,13,13067,13067031313
130670313132,3578,13,13067,13067031313
130670314041,1070,13,13067,13067031404
130670314042,2870,13,13067,13067031404
130670314043,1265,13,13067,13067031404
130670314044,441,13,13067,13067031404
130670314051,1636,13,13067,13067031405
130670314052,2940,13,13067,13067031405
130670314053,1064,13,13067,13067031405
130670314054,1517,13,13067,13067031405
130670314055,1354,13,13067,13067031405
130670314061,1357,13,13067,13067031406
130670314062,2752,13,13067,13067031406
130670314063,3793,13,13067,13067031406
130670314081,582,13,13067,13067031408
130670314082,3449,13,13067,13067031408
130670314083,1224,13,13067,13067031408
130670314091,2367,13,13067,13067031409
130670314092,2716,13,13067,13067031409
130670315031,1948,13,13067,13067031503
130670315032,2740,13,13067,13067031503
130670315033,3576,13,13067,13067031503
130670315034,2028,13,13067,13067031503
130670315051,2634,13,13067,13067031505
130670315052,1526,13,13067,13067031505
130670315053,1945,13,13067,13067031505
130670315061,2029,13,13067,13067031506
130670315062,1976,13,13067,13067031506
130670315063,659,13,13067,13067031506
130670315071,2282,13,13067,13067031507
130670315072,1465,13,13067,13067031507
130670315081,2040,13,13067,13067031508
130670315082,3333,13,13067,13067031508
130670315091,2359,13,13067,13067031509
130670315092,1690,13,13067,13067031509
130670315093,1819,13,13067,13067031509
130670315094,2305,13,13067,13067031509
130670315095,2280,13,13067,13067031509
131171301011,2816,13,13117,13117130101
131171301012,1398,13,13117,13117130101
131171301021,2586,13,13117,13117130102
131171301031,1668,13,13117,13117130103
131171301032,1507,13,13117,13117130103
131171301033,863,13,13117,13117130103
131171301041,1671,13,13117,13117130104
131171301042,1326,13,13117,13117130104
131171301043,1069,13,13117,13117130104
131171301051,2648,13,13117,13117130105
131171302011,1853,13,13117,13117130201
131171302012,1837,13,13117,13117130201
131171302013,1414,13,13117,13117130201
131171302021,1580,13,13117,13117130202
131171302022,851,13,13117,13117130202
131171302023,1786,13,13117,13117130202
131171302031,2762,13,13117,13117130203
131171302032,2563,13,13117,13117130203
131171302041,2864,13,13117,13117130204
131171302042,2248,13,13117,13117130204
131171302051,1691,13,13117,13117130205
131171302052,756,13,13117,13117130205
131171302053,735,13,13117,13117130205
131171303011,2117,13,13117,13117130301
131171303012,3285,13,13117,13117130301
131171303021,1343,13,13117,13117130302
131171303022,1736,13,13117,13117130302
131171303023,2367,13,13117,13117130302
131171303031,3101,13,13117,13117130303
131171303032,1015,13,13117,13117130303
131171303041,1707,13,13117,13117130304
131171303042,2474,13,13117,13117130304
131171303051,1084,13,13117,13117130305
131171303052,3179,13,13117,13117130305
131171303053,1892,13,13117,13117130305
131171303061,2611,13,13117,13117130306
131171303062,2093,13,13117,13117130306
131171303071,2860,13,13117,13117130307
131171303072,1861,13,13117,13117130307
131171304031,856,13,13117,13117130403
131171304032,1687,13,13117,13117130403
131171304033,1434,13,13117,13117130403
131171304034,2094,13,13117,13117130403
131171304041,1912,13,13117,13117130404
131171304042,2618,13,13117,13117130404
131171304051,2187,13,13117,13117130405
131171304052,1866,13,13117,13117130405
131171304061,2187,13,13117,13117130406
131171304062,2482,13,13117,13117130406
131171304063,1439,13,13117,13117130406
131171304081,2289,13,13117,13117130408
131171304082,1190,13,13117,13117130408
131171304091,854,13,13117,13117130409
131171304092,1992,13,13117,13117130409
131171304101,737,13,13117,13117130410
131171304102,1925,13,13117,13117130410
131171304103,1860,13,13117,13117130410
131171305031,1632,13,13117,13117130503
131171305032,956,13,13117,13117130503
131171305041,1979,13,13117,13117130504
131171305042,1837,13,13117,13117130504
131171305051,1140,13,13117,13117130505
131171305052,1650,13,13117,13117130505
131171305061,1345,13,13117,13117130506
131171305062,2260,13,13117,13117130506
131171305071,918,13,13117,13117130507
131171305072,1463,13,13117,13117130507
131171305081,2224,13,13117,13117130508
131171305082,3074,13,13117,13117130508
131171305091,2268,13,13117,13117130509
131171305092,1463,13,13117,13117130509
131171305101,2222,13,13117,13117130510
131171305102,2023,13,13117,13117130510
131171305103,2179,13,13117,13117130510
131171306011,2819,13,13117,13117130601
131171306012,857,13,13117,13117130601
131171306013,1278,13,13117,13117130601
131171306021,2857,13,13117,13117130602
131171306022,2958,13,13117,13117130602
131171306031,3165,13,13117,13117130603
131171306032,1311,13,13117,13117130603
131171306033,982,13,13117,13117130603
131171306041,2522,13,13117,13117130604
131171306042,965,13,13117,13117130604
131171306043,1518,13,13117,13117130604
131171306051,1533,13,13117,13117130605
131171306052,2771,13,13117,13117130605
131171306061,1788,13,13117,13117130606
131171306062,2889,13,13117,13117130606
131171306071,2174,13,13117,13117130607
131171306072,659,13,13117,13117130607
131171306073,2726,13,13117,13117130607
131171306081,3360,13,13117,13117130608
131171306082,1873,13,13117,13117130608
131171306083,857,13,13117,13117130608
131171306091,3176,13,13117,13117130609
131171306092,1264,13,13117,13117130609
131171306093,1397,13,13117,13117130609
131171306101,1199,13,13117,13117130610
131171306102,2045,13,13117,13117130610
131171306103,1462,13,13117,13117130610
131171306111,1160,13,13117,13117130611
131171306112,3009,13,13117,13117130611
131171306121,2255,13,13117,13117130612
131171306122,782,13,13117,13117130612
131171306123,3390,13,13117,13117130612
131171306131,1437,13,13117,13117130613
131171306132,1944,13,13117,13117130613
